Training beginning...
87: IZY=3.20	IZX=35.39	acc=0.9759	avg_acc=0.9782	err=0.0241	avg_err=0.0218
88: IZY=3.20	IZX=35.85	acc=0.9769	avg_acc=0.9783	err=0.0231	avg_err=0.0217
89: IZY=3.20	IZX=34.93	acc=0.9763	avg_acc=0.9797	err=0.0237	avg_err=0.0203
90: IZY=3.21	IZX=35.73	acc=0.9764	avg_acc=0.9786	err=0.0236	avg_err=0.0214
91: IZY=3.21	IZX=35.56	acc=0.9765	avg_acc=0.9795	err=0.0235	avg_err=0.0205
92: IZY=3.21	IZX=35.23	acc=0.9763	avg_acc=0.9784	err=0.0237	avg_err=0.0216
93: IZY=3.20	IZX=35.53	acc=0.9771	avg_acc=0.9776	err=0.0229	avg_err=0.0224
94: IZY=3.20	IZX=34.77	acc=0.9760	avg_acc=0.9793	err=0.0240	avg_err=0.0207
95: IZY=3.21	IZX=34.92	acc=0.9766	avg_acc=0.9778	err=0.0234	avg_err=0.0222
96: IZY=3.20	IZX=34.45	acc=0.9753	avg_acc=0.9783	err=0.0247	avg_err=0.0217
97: IZY=3.20	IZX=35.19	acc=0.9771	avg_acc=0.9789	err=0.0229	avg_err=0.0211
98: IZY=3.21	IZX=35.01	acc=0.9783	avg_acc=0.9787	err=0.0217	avg_err=0.0213
99: IZY=3.20	IZX=34.48	acc=0.9771	avg_acc=0.9785	err=0.0229	avg_err=0.0215
100: IZY=3.20	IZX=34.59	acc=0.9753	avg_acc=0.9785	err=0.0247	avg_err=0.0215
101: IZY=3.20	IZX=34.83	acc=0.9755	avg_acc=0.9790	err=0.0245	avg_err=0.0210
102: IZY=3.20	IZX=34.07	acc=0.9769	avg_acc=0.9783	err=0.0231	avg_err=0.0217
103: IZY=3.21	IZX=34.67	acc=0.9767	avg_acc=0.9787	err=0.0233	avg_err=0.0213
104: IZY=3.20	IZX=34.71	acc=0.9762	avg_acc=0.9778	err=0.0238	avg_err=0.0222
105: IZY=3.20	IZX=34.29	acc=0.9766	avg_acc=0.9802	err=0.0234	avg_err=0.0198
106: IZY=3.21	IZX=34.05	acc=0.9781	avg_acc=0.9787	err=0.0219	avg_err=0.0213
107: IZY=3.21	IZX=34.21	acc=0.9754	avg_acc=0.9790	err=0.0246	avg_err=0.0210
108: IZY=3.21	IZX=34.29	acc=0.9775	avg_acc=0.9791	err=0.0225	avg_err=0.0209
109: IZY=3.21	IZX=33.57	acc=0.9778	avg_acc=0.9789	err=0.0222	avg_err=0.0211
110: IZY=3.21	IZX=34.07	acc=0.9764	avg_acc=0.9793	err=0.0236	avg_err=0.0207
111: IZY=3.20	IZX=33.26	acc=0.9766	avg_acc=0.9792	err=0.0234	avg_err=0.0208
112: IZY=3.20	IZX=33.69	acc=0.9751	avg_acc=0.9785	err=0.0249	avg_err=0.0215
113: IZY=3.20	IZX=33.57	acc=0.9758	avg_acc=0.9790	err=0.0242	avg_err=0.0210
114: IZY=3.20	IZX=33.11	acc=0.9770	avg_acc=0.9791	err=0.0230	avg_err=0.0209
115: IZY=3.20	IZX=33.03	acc=0.9774	avg_acc=0.9796	err=0.0226	avg_err=0.0204
116: IZY=3.21	IZX=33.16	acc=0.9792	avg_acc=0.9790	err=0.0208	avg_err=0.0210
117: IZY=3.21	IZX=33.20	acc=0.9786	avg_acc=0.9784	err=0.0214	avg_err=0.0216
118: IZY=3.20	IZX=33.44	acc=0.9768	avg_acc=0.9787	err=0.0232	avg_err=0.0213
119: IZY=3.21	IZX=33.01	acc=0.9760	avg_acc=0.9795	err=0.0240	avg_err=0.0205
120: IZY=3.21	IZX=32.87	acc=0.9775	avg_acc=0.9791	err=0.0225	avg_err=0.0209
121: IZY=3.20	IZX=32.57	acc=0.9764	avg_acc=0.9789	err=0.0236	avg_err=0.0211
122: IZY=3.20	IZX=32.80	acc=0.9775	avg_acc=0.9794	err=0.0225	avg_err=0.0206
123: IZY=3.21	IZX=32.75	acc=0.9787	avg_acc=0.9793	err=0.0213	avg_err=0.0207
124: IZY=3.21	IZX=32.46	acc=0.9768	avg_acc=0.9800	err=0.0232	avg_err=0.0200
125: IZY=3.20	IZX=32.93	acc=0.9772	avg_acc=0.9792	err=0.0228	avg_err=0.0208
126: IZY=3.21	IZX=32.75	acc=0.9775	avg_acc=0.9797	err=0.0225	avg_err=0.0203
127: IZY=3.21	IZX=32.69	acc=0.9779	avg_acc=0.9792	err=0.0221	avg_err=0.0208
128: IZY=3.20	IZX=32.50	acc=0.9774	avg_acc=0.9797	err=0.0226	avg_err=0.0203
129: IZY=3.20	IZX=32.02	acc=0.9760	avg_acc=0.9788	err=0.0240	avg_err=0.0212
130: IZY=3.21	IZX=32.98	acc=0.9795	avg_acc=0.9794	err=0.0205	avg_err=0.0206
131: IZY=3.20	IZX=32.05	acc=0.9783	avg_acc=0.9793	err=0.0217	avg_err=0.0207
132: IZY=3.20	IZX=32.58	acc=0.9774	avg_acc=0.9797	err=0.0226	avg_err=0.0203
133: IZY=3.20	IZX=32.05	acc=0.9775	avg_acc=0.9788	err=0.0225	avg_err=0.0212
134: IZY=3.21	IZX=32.18	acc=0.9773	avg_acc=0.9792	err=0.0227	avg_err=0.0208
135: IZY=3.20	IZX=32.19	acc=0.9770	avg_acc=0.9797	err=0.0230	avg_err=0.0203
136: IZY=3.20	IZX=31.93	acc=0.9767	avg_acc=0.9799	err=0.0233	avg_err=0.0201
137: IZY=3.20	IZX=31.93	acc=0.9773	avg_acc=0.9794	err=0.0227	avg_err=0.0206
138: IZY=3.21	IZX=32.01	acc=0.9774	avg_acc=0.9783	err=0.0226	avg_err=0.0217
139: IZY=3.20	IZX=32.09	acc=0.9779	avg_acc=0.9790	err=0.0221	avg_err=0.0210
140: IZY=3.20	IZX=31.87	acc=0.9758	avg_acc=0.9790	err=0.0242	avg_err=0.0210
141: IZY=3.20	IZX=32.01	acc=0.9769	avg_acc=0.9785	err=0.0231	avg_err=0.0215
142: IZY=3.20	IZX=31.81	acc=0.9766	avg_acc=0.9790	err=0.0234	avg_err=0.0210
143: IZY=3.20	IZX=32.04	acc=0.9772	avg_acc=0.9787	err=0.0228	avg_err=0.0213
144: IZY=3.21	IZX=31.94	acc=0.9775	avg_acc=0.9789	err=0.0225	avg_err=0.0211
145: IZY=3.21	IZX=31.72	acc=0.9780	avg_acc=0.9788	err=0.0220	avg_err=0.0212
146: IZY=3.20	IZX=31.46	acc=0.9780	avg_acc=0.9793	err=0.0220	avg_err=0.0207
147: IZY=3.21	IZX=31.72	acc=0.9798	avg_acc=0.9789	err=0.0202	avg_err=0.0211
148: IZY=3.20	IZX=31.19	acc=0.9773	avg_acc=0.9794	err=0.0227	avg_err=0.0206
149: IZY=3.20	IZX=31.34	acc=0.9791	avg_acc=0.9795	err=0.0209	avg_err=0.0205
150: IZY=3.20	IZX=31.48	acc=0.9767	avg_acc=0.9800	err=0.0233	avg_err=0.0200
151: IZY=3.21	IZX=31.78	acc=0.9763	avg_acc=0.9795	err=0.0237	avg_err=0.0205
152: IZY=3.20	IZX=31.82	acc=0.9784	avg_acc=0.9793	err=0.0216	avg_err=0.0207
153: IZY=3.20	IZX=31.61	acc=0.9775	avg_acc=0.9782	err=0.0225	avg_err=0.0218
154: IZY=3.20	IZX=31.11	acc=0.9774	avg_acc=0.9788	err=0.0226	avg_err=0.0212
155: IZY=3.20	IZX=31.40	acc=0.9769	avg_acc=0.9797	err=0.0231	avg_err=0.0203
156: IZY=3.20	IZX=31.48	acc=0.9781	avg_acc=0.9790	err=0.0219	avg_err=0.0210
157: IZY=3.20	IZX=31.03	acc=0.9772	avg_acc=0.9792	err=0.0228	avg_err=0.0208
158: IZY=3.20	IZX=31.47	acc=0.9779	avg_acc=0.9795	err=0.0221	avg_err=0.0205
159: IZY=3.21	IZX=31.36	acc=0.9786	avg_acc=0.9802	err=0.0214	avg_err=0.0198
160: IZY=3.21	IZX=31.55	acc=0.9778	avg_acc=0.9792	err=0.0222	avg_err=0.0208
161: IZY=3.20	IZX=31.01	acc=0.9762	avg_acc=0.9799	err=0.0238	avg_err=0.0201
162: IZY=3.20	IZX=31.02	acc=0.9787	avg_acc=0.9795	err=0.0213	avg_err=0.0205
163: IZY=3.20	IZX=30.98	acc=0.9765	avg_acc=0.9789	err=0.0235	avg_err=0.0211
164: IZY=3.20	IZX=31.07	acc=0.9772	avg_acc=0.9785	err=0.0228	avg_err=0.0215
165: IZY=3.21	IZX=31.04	acc=0.9763	avg_acc=0.9788	err=0.0237	avg_err=0.0212
166: IZY=3.20	IZX=30.98	acc=0.9754	avg_acc=0.9790	err=0.0246	avg_err=0.0210
167: IZY=3.21	IZX=30.81	acc=0.9783	avg_acc=0.9796	err=0.0217	avg_err=0.0204
168: IZY=3.20	IZX=30.78	acc=0.9782	avg_acc=0.9796	err=0.0218	avg_err=0.0204
169: IZY=3.21	IZX=30.92	acc=0.9773	avg_acc=0.9789	err=0.0227	avg_err=0.0211
170: IZY=3.20	IZX=30.48	acc=0.9766	avg_acc=0.9797	err=0.0234	avg_err=0.0203
171: IZY=3.20	IZX=30.86	acc=0.9766	avg_acc=0.9797	err=0.0234	avg_err=0.0203
172: IZY=3.21	IZX=30.65	acc=0.9771	avg_acc=0.9795	err=0.0229	avg_err=0.0205
173: IZY=3.20	IZX=30.67	acc=0.9769	avg_acc=0.9793	err=0.0231	avg_err=0.0207
174: IZY=3.20	IZX=30.89	acc=0.9769	avg_acc=0.9793	err=0.0231	avg_err=0.0207
175: IZY=3.20	IZX=30.75	acc=0.9774	avg_acc=0.9796	err=0.0226	avg_err=0.0204
176: IZY=3.20	IZX=30.53	acc=0.9771	avg_acc=0.9795	err=0.0229	avg_err=0.0205
177: IZY=3.20	IZX=30.38	acc=0.9779	avg_acc=0.9794	err=0.0221	avg_err=0.0206
178: IZY=3.20	IZX=30.71	acc=0.9778	avg_acc=0.9802	err=0.0222	avg_err=0.0198
179: IZY=3.20	IZX=30.74	acc=0.9764	avg_acc=0.9789	err=0.0236	avg_err=0.0211
180: IZY=3.20	IZX=30.44	acc=0.9770	avg_acc=0.9803	err=0.0230	avg_err=0.0197
181: IZY=3.21	IZX=30.69	acc=0.9770	avg_acc=0.9799	err=0.0230	avg_err=0.0201
182: IZY=3.20	IZX=30.53	acc=0.9774	avg_acc=0.9799	err=0.0226	avg_err=0.0201
183: IZY=3.20	IZX=30.57	acc=0.9761	avg_acc=0.9793	err=0.0239	avg_err=0.0207
184: IZY=3.20	IZX=30.39	acc=0.9772	avg_acc=0.9794	err=0.0228	avg_err=0.0206
185: IZY=3.21	IZX=30.39	acc=0.9776	avg_acc=0.9790	err=0.0224	avg_err=0.0210
186: IZY=3.21	IZX=30.27	acc=0.9766	avg_acc=0.9798	err=0.0234	avg_err=0.0202
187: IZY=3.20	IZX=30.51	acc=0.9786	avg_acc=0.9790	err=0.0214	avg_err=0.0210
188: IZY=3.20	IZX=30.50	acc=0.9769	avg_acc=0.9796	err=0.0231	avg_err=0.0204
189: IZY=3.20	IZX=30.23	acc=0.9772	avg_acc=0.9796	err=0.0228	avg_err=0.0204
190: IZY=3.20	IZX=30.15	acc=0.9772	avg_acc=0.9795	err=0.0228	avg_err=0.0205
191: IZY=3.20	IZX=30.23	acc=0.9764	avg_acc=0.9799	err=0.0236	avg_err=0.0201
192: IZY=3.20	IZX=30.42	acc=0.9783	avg_acc=0.9799	err=0.0217	avg_err=0.0201
193: IZY=3.20	IZX=30.22	acc=0.9761	avg_acc=0.9799	err=0.0239	avg_err=0.0201
194: IZY=3.21	IZX=30.29	acc=0.9767	avg_acc=0.9790	err=0.0233	avg_err=0.0210
195: IZY=3.20	IZX=30.27	acc=0.9773	avg_acc=0.9800	err=0.0227	avg_err=0.0200
196: IZY=3.20	IZX=30.31	acc=0.9777	avg_acc=0.9789	err=0.0223	avg_err=0.0211
197: IZY=3.20	IZX=30.14	acc=0.9764	avg_acc=0.9794	err=0.0236	avg_err=0.0206
198: IZY=3.20	IZX=30.11	acc=0.9778	avg_acc=0.9798	err=0.0222	avg_err=0.0202
199: IZY=3.20	IZX=30.29	acc=0.9788	avg_acc=0.9794	err=0.0212	avg_err=0.0206
Training complete
Checkpoint saved
WARNING:tensorflow:From C:\Users\blyo\AppData\Local\Continuum\miniconda3\envs\palmer\lib\site-packages\tensorflow\python\training\saver.py:1266: checkpoint_exists (from tensorflow.python.training.checkpoint_management) is deprecated and will be removed in a future version.
Instructions for updating:
Use standard file APIs to check for files with this prefix.
INFO:tensorflow:Restoring parameters from ./DATA/mnistvib_reduced100-120000
INFO:tensorflow:Restoring parameters from ./DATA/mnistvib_reduced100-120000
